Ticker,Metric,CoveragePct,Taxonomy,Concept,UnitCount,EntryCount
BRK-A,SharesOutstanding,97.62,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1,146
BRK-A,SharesOutstanding,97.62,us-gaap,WeightedAverageNumberOfSharesOutstandingBasic,1,82
BRK-A,SharesOutstanding,97.62,us-gaap,PreferredStockSharesAuthorized,1,53
BRK-A,SharesOutstanding,97.62,us-gaap,PreferredStockSharesIssued,1,53
BRK-A,SharesOutstanding,97.62,us-gaap,EarningsPerShareBasic,1,44
BRK-A,SharesOutstanding,97.62,us-gaap,StockIssuedDuringPeriodValueNewIssues,1,37
BRK-A,SharesOutstanding,97.62,us-gaap,PaymentsToMinorityShareholders,1,21
BRK-A,SharesOutstanding,97.62,us-gaap,PreferredStockSharesOutstanding,1,12
BRK-A,SharesOutstanding,97.62,dei,EntityCommonStockSharesOutstanding,1,7
BRK-A,SharesOutstanding,97.62,us-gaap,NotesIssued1,1,7
BRK-A,SharesOutstanding,97.62,us-gaap,BusinessAcquisitionProFormaEarningsPerShareBasic,1,4
BRK-A,SharesOutstanding,97.62,us-gaap,StockIssued,1,3
BRK-A,SharesOutstanding,97.62,us-gaap,StockRepurchasedDuringPeriodShares,1,2
BRK-A,SharesOutstanding,97.62,us-gaap,StockIssued1,1,1
BRK-A,SharesOutstanding,97.62,us-gaap,TreasuryStockSharesAcquired,1,1
BRK-A,TotalDebt,0.0,us-gaap,AvailableForSaleDebtSecuritiesAmortizedCostBasis,1,88
BRK-A,TotalDebt,0.0,us-gaap,AvailableForSaleSecuritiesDebtSecurities,1,88
BRK-A,TotalDebt,0.0,us-gaap,DebtAndCapitalLeaseObligations,3,60
BRK-A,TotalDebt,0.0,us-gaap,AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsAmortizedCostBasis,1,44
BRK-A,TotalDebt,0.0,us-gaap,AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsFairValue,1,44
BRK-A,TotalDebt,0.0,us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenAmortizedCostBasis,1,44
BRK-A,TotalDebt,0.0,us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenFairValue,1,44
BRK-A,TotalDebt,0.0,us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenAmortizedCostBasis,1,44
BRK-A,TotalDebt,0.0,us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenFairValue,1,44
BRK-A,TotalDebt,0.0,us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveAmortizedCostBasis,1,44
BRK-A,TotalDebt,0.0,us-gaap,AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveFairValue,1,44
BRK-A,TotalDebt,0.0,us-gaap,ShortTermLeaseCost,1,23
BRK-A,TotalDebt,0.0,us-gaap,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,1,21
BRK-A,TotalDebt,0.0,us-gaap,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,1,16
BRK-A,TotalDebt,0.0,us-gaap,OperatingLeaseLiability,1,16
BRK-A,TotalDebt,0.0,us-gaap,AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateAmortizedCost,1,12
BRK-A,TotalDebt,0.0,us-gaap,AvailableForSaleSecuritiesDebtMaturitiesWithoutSingleMaturityDateFairValue,1,12
BRK-A,TotalDebt,0.0,us-gaap,PurchaseObligationDueInFifthYear,1,12
BRK-A,TotalDebt,0.0,us-gaap,PurchaseObligationDueInFourthYear,1,12
BRK-A,TotalDebt,0.0,us-gaap,PurchaseObligationDueInNextTwelveMonths,1,12
V,Revenue,48.78,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1,232
V,Revenue,48.78,us-gaap,ProfessionalFees,1,217
V,Revenue,48.78,us-gaap,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,1,209
V,Revenue,48.78,us-gaap,Revenues,1,148
V,Revenue,48.78,us-gaap,InterestIncomeExpenseNet,1,127
V,Revenue,48.78,us-gaap,OtherSalesRevenueNet,1,121
V,Revenue,48.78,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1,77
V,Revenue,48.78,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,77
V,Revenue,48.78,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,1,72
V,Revenue,48.78,us-gaap,InterestPaidNet,1,61
V,Revenue,48.78,us-gaap,InterestPaid,1,59
V,Revenue,48.78,us-gaap,IncomeTaxExaminationInterestExpense,1,48
V,Revenue,48.78,us-gaap,InterestAndDividendIncomeSecurities,1,42
V,Revenue,48.78,us-gaap,NetIncomeLossAttributableToNoncontrollingInterest,1,42
V,Revenue,48.78,us-gaap,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,1,41
V,Revenue,48.78,us-gaap,IncomeTaxExaminationInterestAccrued,1,32
V,Revenue,48.78,us-gaap,InterestExpense,1,29
V,Revenue,48.78,us-gaap,InterestExpenseNonoperating,1,22
V,Revenue,48.78,us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,1,21
V,Revenue,48.78,us-gaap,DeferredRevenue,1,20
V,Equity,48.78,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,1,232
V,Equity,48.78,us-gaap,LiabilitiesAndStockholdersEquity,1,134
V,Equity,48.78,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,1,77
V,Equity,48.78,us-gaap,EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentAnnualAmount,1,76
V,Equity,48.78,us-gaap,EquitySecuritiesWithoutReadilyDeterminableFairValueDownwardPriceAdjustmentAnnualAmount,1,44
V,Equity,48.78,us-gaap,EquitySecuritiesWithoutReadilyDeterminableFairValueUpwardPriceAdjustmentCumulativeAmount,1,31
V,Equity,48.78,us-gaap,EquitySecuritiesFvNiUnrealizedGainLoss,1,30
V,Equity,48.78,us-gaap,EquitySecuritiesWithoutReadilyDeterminableFairValueAmount,1,30
V,Equity,48.78,us-gaap,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodTotalFairValue,1,26
V,Equity,48.78,us-gaap,StockholdersEquity,1,22
V,Equity,48.78,us-gaap,EquitySecuritiesFvNiRealizedGainLoss,1,18
V,Equity,48.78,us-gaap,IncomeLossFromEquityMethodInvestments,1,16
V,Equity,48.78,us-gaap,EquitySecuritiesWithoutReadilyDeterminableFairValueDownwardPriceAdjustmentCumulativeAmount,1,15
V,Equity,48.78,us-gaap,BusinessCombinationConsiderationTransferredEquityInterestsIssuedAndIssuable,1,13
V,Equity,48.78,us-gaap,DeferredTaxAssetsEquityMethodInvestments,1,12
V,Equity,48.78,us-gaap,EquitySecuritiesFvNiGainLoss,1,10
V,Equity,48.78,us-gaap,EquitySecuritiesFvNiCost,1,6
V,Equity,48.78,us-gaap,DefinedBenefitPlanEquitySecurities,1,3
V,Equity,48.78,us-gaap,DefinedBenefitPlanTargetAllocationPercentageOfAssetsEquitySecuritiesRangeMaximum,1,3
V,Equity,48.78,us-gaap,DefinedBenefitPlanTargetAllocationPercentageOfAssetsEquitySecuritiesRangeMinimum,1,3
V,EPS,48.78,us-gaap,OperatingIncomeLoss,1,225
V,EPS,48.78,us-gaap,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,1,217
V,EPS,48.78,us-gaap,NonoperatingIncomeExpense,1,216
V,EPS,48.78,us-gaap,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodTax,1,206
V,EPS,48.78,us-gaap,EffectiveIncomeTaxRateContinuingOperations,1,203
V,EPS,48.78,us-gaap,OtherNonoperatingIncomeExpense,1,173
V,EPS,48.78,us-gaap,LossContingencyLossInPeriod,1,165
V,EPS,48.78,us-gaap,StockRepurchasedAndRetiredDuringPeriodValue,1,153
V,EPS,48.78,us-gaap,IncreaseDecreaseInOtherOperatingAssets,1,151
V,EPS,48.78,us-gaap,NetCashProvidedByUsedInOperatingActivities,1,151
V,EPS,48.78,us-gaap,ShareBasedCompensation,1,151
