Ticker,Company_name,CUSIP,source,Market_Cap
BR,BROADRIDGE FINANCIAL SOLUTIO,11133T103,sp500_row_504.csv,20818630656.0
BRBR,BellRing Brands Inc.,07831C103,sp400_row_400.csv,1993099648.0
BRC,BRADY CORPORATION   CL A,104674106,sp600_row_341.csv,4019169024.0
BRK-B,BERKSHIRE HATHAWAY INC CL B,084670702,"dow_row_179.csv, sp500_row_504.csv",1057158791168.0
BRKR,Bruker Corporation,116794108,sp400_row_400.csv,5137399808.0
BRO,BROWN + BROWN INC,115236101,sp500_row_504.csv,23305383936.0
BROS,Dutch Bros Inc. Class A,26701L100,sp400_row_400.csv,7782977024.0
BRX,Brixmor Property Group Inc.,11120U105,sp400_row_400.csv,9090385920.0
BSX,BOSTON SCIENTIFIC CORP,101137107,sp500_row_504.csv,102580994048.0
BSY,Bentley Systems Incorporated Class B,08265T208,sp400_row_400.csv,11592843264.0
BTSG,BRIGHTSPRING HEALTH SERVICES,10950A106,sp600_row_341.csv,7358751744.0
BURL,Burlington Stores Inc.,122017106,sp400_row_400.csv,18670444544.0
BWA,BorgWarner Inc.,099724106,sp400_row_400.csv,10816205824.0
BWXT,BWX Technologies Inc.,05605H100,sp400_row_400.csv,17752236032.0
BX,BLACKSTONE INC,09260D107,sp500_row_504.csv,130513133568.0
BXP,BXP INC,101121101,sp500_row_504.csv,9208732672.0
BYD,Boyd Gaming Corporation,103304101,sp400_row_400.csv,6163183616.0
C,CITIGROUP INC,172967424,sp500_row_504.csv,184885526528.0
CACI,CACI International Inc Class A,127190304,sp400_row_400.csv,13399879680.0
CAG,CONAGRA BRANDS INC,205887102,sp500_row_504.csv,7850042880.0
CAH,CARDINAL HEALTH INC,14149Y108,sp500_row_504.csv,51082399744.0
CAKE,CHEESECAKE FACTORY INC/THE,163072101,sp600_row_341.csv,2870387968.0
CALM,CAL MAINE FOODS INC,128030202,sp600_row_341.csv,4186407936.0
CALX,CALIX INC,13100M509,sp600_row_341.csv,3351601152.0
CALY,CALLAWAY GOLF COMPANY,131193104,sp600_row_341.csv,2463181312.0
CAR,Avis Budget Group Inc.,053774105,sp400_row_400.csv,3550898688.0
CARG,CARGURUS INC,141788109,sp600_row_341.csv,2945686016.0
CARR,CARRIER GLOBAL CORP,14448C104,sp500_row_504.csv,46514712576.0
CART,Maplebear Inc.,565394103,sp400_row_400.csv,10036634624.0
CASH,PATHWARD FINANCIAL INC,59100U108,sp600_row_341.csv,2036647168.0
CASY,Casey's General Stores Inc.,147528103,sp400_row_400.csv,24496422912.0
CAT,CATERPILLAR INC,149123101,"dow_row_179.csv, dow_row_31.csv, sp500_row_504.csv",324773150720.0
CAVA,CAVA Group Inc.,148929102,sp400_row_400.csv,9542976512.0
CB,CHUBB LTD,H1467J104,sp500_row_504.csv,129466425344.0
CBOE,CBOE GLOBAL MARKETS INC,12503M108,sp500_row_504.csv,30343163904.0
CBRE,CBRE GROUP INC   A,12504L109,sp500_row_504.csv,39817945088.0
CBSH,Commerce Bancshares Inc.,200525103,sp400_row_400.csv,7021568000.0
CBT,Cabot Corporation,127055101,sp400_row_400.csv,3628879104.0
CBU,COMMUNITY FINANCIAL SYSTEM I,203607106,sp600_row_341.csv,3027408128.0
CCI,CROWN CASTLE INC,22822V101,sp500_row_504.csv,38143082496.0
CCK,Crown Holdings Inc.,228368106,sp400_row_400.csv,12131137536.0
CCL,CARNIVAL CORP,143658300,"dow_row_179.csv, sp500_row_504.csv",33229498368.0
CCOI,COGENT COMMUNICATIONS HOLDIN,19239V302,sp600_row_341.csv,941168576.0
CDNS,CADENCE DESIGN SYS INC,127387108,sp500_row_504.csv,79184543744.0
CDP,COPT Defense Properties,22002T108,sp400_row_400.csv,3661324032.0
CDW,CDW CORP/DE,12514G108,sp500_row_504.csv,15123296256.0
CEG,CONSTELLATION ENERGY,21037T109,sp500_row_504.csv,109237821440.0
CELH,Celsius Holdings Inc.,15118V207,sp400_row_400.csv,11489490944.0
CENX,CENTURY ALUMINUM COMPANY,156431108,sp600_row_341.csv,5416849408.0
CERT,CERTARA INC,15687V109,sp600_row_341.csv,1059167872.0
CF,CF INDUSTRIES HOLDINGS INC,125269100,sp500_row_504.csv,20209635328.0
CFG,CITIZENS FINANCIAL GROUP,174610105,sp500_row_504.csv,23896612864.0
CFR,Cullen/Frost Bankers Inc.,229899109,sp400_row_400.csv,8350853120.0
CG,Carlyle Group Inc,14316J108,sp400_row_400.csv,16483847168.0
CGNX,Cognex Corporation,192422103,sp400_row_400.csv,7950665728.0
CHCO,CITY HOLDING CO,177835105,sp600_row_341.csv,1709010176.0
CHD,CHURCH + DWIGHT CO INC,171340102,sp500_row_504.csv,23472715776.0
CHDN,Churchill Downs Incorporated,171484108,sp400_row_400.csv,6021774336.0
CHE,Chemed Corporation,16359R103,sp400_row_400.csv,5669949440.0
CHEF,CHEFS  WAREHOUSE INC/THE,163086101,sp600_row_341.csv,2628847360.0
CHH,Choice Hotels International Inc.,169905106,sp400_row_400.csv,4417184256.0
