Ticker,Sector,const_lag1,L1.AdjClosePrice_lag1,L1.NEWS_FINBERT_Negative_Mean_lag1,L1.NEWS_FINBERT_Positive_Mean_lag1,pvalue_lag1,const_lag2,L1.AdjClosePrice_lag2,L1.NEWS_FINBERT_Negative_Mean_lag2,L1.NEWS_FINBERT_Positive_Mean_lag2,L2.AdjClosePrice_lag2,L2.NEWS_FINBERT_Negative_Mean_lag2,L2.NEWS_FINBERT_Positive_Mean_lag2,pvalue_lag2
COST,Consumer Cyclical,2.6432005992878462,0.028418477803704288,9.418432269614712,18.012828228844285,0.006626055596006872,2.664289497769263,0.041654134715064614,8.000091847945775,15.603726033646472,-0.01505306939457041,-3.1623303161544576,-5.629565018085621,0.02988355456701925
CRM,Technology,-0.22199263197240146,-0.07334801886215093,-0.6923015520590756,-0.5869616357185068,0.9793622083509131,-0.2272257765989412,-0.06998638483807842,0.0918106906869216,-0.6304834342563552,0.038729562297353935,1.3600124001839202,-0.1785569928279105,0.9969031015904576
CSCO,Healthcare,0.19279691297407686,-0.2204890272186335,-0.14747323412565405,0.9114209518408304,0.09661895566491135,0.19367443944951565,-0.21270006622425258,0.0834849144966584,0.7956008195873573,-0.0008769807384700068,0.5687938197551258,-0.09571082000576839,0.19667838297214646
CSGP,Technology,-0.33420822917374743,0.26439795558366685,3.981921443693435,2.1720658216101096,0.2794823918889175,-0.5075787320838561,0.2772475924917366,5.602758729462791,3.909489153484077,0.08237421725334365,3.2889937515860894,3.44303491028214,0.23329243815312398
CVX,Technology,0.5111027525351538,0.035658598620182086,-0.3075336976369282,-0.14738158630169165,0.9771852734319585,0.5427652498672005,0.039746330891950434,-1.0660083122719748,0.12014648930918247,-0.0871173783807189,-0.8812335738709643,0.6973280068442044,0.927299974308541
D,Healthcare,0.07900360757652078,0.14672007731653305,0.7618329833884275,0.6399667209092322,0.8062458025308462,0.09177525193254696,0.11281103302616849,-0.5831705787943775,-0.21384798138100547,0.2533024000083952,-1.4341881207419653,-2.1359092907351256,0.7699974811052428
DE,Consumer Defensive,1.3807656855937815,0.0530962400751987,14.548070751332098,-3.396082324674458,0.11822503498635166,1.4553019560617504,0.053842661696528585,14.389548585824889,-3.0046242065546798,-0.04965498723247049,0.9688348006086397,-0.34804609666401515,0.44370918812386784
DEO,Healthcare,-5.625838216175646,-0.3471389048905422,-14.404612290136937,-1.1711533532995164,0.20154571594605641,-8.008722024252911,-0.21194528825019926,-23.17275587403762,11.100892468717976,-0.9352990961148187,-19.412517738474452,-5.958246606115364,0.3500018817881834
DIS,Healthcare,-0.278827091499371,0.1433329610666473,4.879494033103327,0.3313397544408105,0.06059185264207565,-0.3193999726672917,0.13944179580192412,5.554028373911889,-0.7152607969763103,-0.07485906821993864,1.105296698887391,-1.1160389409508338,0.1304350078967272
DLR,Healthcare,0.7357755213004724,-0.07808726462881593,-7.996247572595784,3.1678959253293075,0.29995377415021446,1.0094868334400244,-0.15793450751270066,-12.627192812736922,3.3592357550969174,-0.22587364053559808,-7.749616935851138,2.4850414304485087,0.4132203704069739
DUK,Healthcare,0.8148106872282208,-0.1210213508151068,-0.891286942754502,-1.276456550535076,0.5146385440565389,0.7903019380801694,-0.11055923110971307,0.07415798633601813,-1.0231023122232936,0.0038532268806553693,2.3025053968797073,0.4222628300299651,0.5178727962309776
ECL,Technology,1.7030342556133686,0.024688980584779963,8.234142473442969,-3.2729912703773643,0.3951045392265897,2.7599141452131,-0.08805797772094776,-5.599683831278166,-3.811861921068002,-0.23263405199142007,-1.6906856098520535,-2.0833344270625407,0.7836998750988685
EL,Technology,-1.7777118707755093,-0.12229109693048265,0.08365738286452754,5.5159790748603745,0.5802502923644675,-1.7801109552488337,-0.13919833466538123,1.4346003059250847,9.670590466784711,-0.042759784692672054,0.8624558306832399,13.656748047878503,0.13046807453514236
ENB,Consumer Defensive,1.4654717317298338,0.11957814315346185,6.94153311743508,2.657765628641381,0.32879043488496934,2.7598232423084084,0.0036810137076461746,-7.75880991401851,-7.0907348974957465,-1.0829410831018584,-19.804792335820345,-8.051459468620276,0.30598277362965315
EPD,Energy,1.0492456955105598,0.17747836066938638,3.2873748597889363,-0.011647578183993099,0.21389612524730484,1.4915955568394788,0.2522339292428786,4.110464883191055,0.7161188885277043,-0.30468915788214807,-0.30549034652315615,1.0675305391325862,0.5823047659137593
EQIX,Consumer Defensive,7.8871190250489684,-0.11082174064553758,-22.987714354274285,5.524318110894378,0.42931776573712455,8.179053756274502,-0.13757707768563857,-23.483128250253614,22.859977178140465,-0.03743841819729635,1.7713766604803192,34.85610374771799,0.3834267757352301
EQNR,Healthcare,1.0533453836078381,0.005134740489442111,1.1157113927696625,-1.7268445490393638,0.6093705566578806,1.0660191370332834,-0.03020745624010105,2.0238666118680673,-1.6893167829044538,0.04664510957506478,1.0680363148127188,-0.7683791627834238,0.9093349574632913
ES,Communication Services,0.1149835395245922,-0.056955292023713106,2.3318611335320303,0.7555979188023638,0.6562823002468317,0.15220727927131197,-0.07947857027963906,2.98709997077031,1.8569942742222405,-0.07400694243472192,1.377944401144674,2.885713077315116,0.8547175829294664
EXC,Energy,0.957366821533169,-0.12562200284811975,-4.855945837075672,-1.7238521310338741,0.24683028055190084,1.0246985999684803,-0.02749048348009847,-2.303828193229529,0.6939844266340588,-0.2811270285237076,5.043701931873818,2.0405086820750413,0.4394431112322804
