Ticker,Company,Link
NOC,Northrop Grumman,https://www.macrotrends.net/stocks/charts/NOC/northrop-grumman
DUK,Duke Energy,https://www.macrotrends.net/stocks/charts/DUK/duke-energy
BMO,Bank Of Montreal,https://www.macrotrends.net/stocks/charts/BMO/bank-of-montreal
BP,BP,https://www.macrotrends.net/stocks/charts/BP/bp
PBR,Petroleo Brasileiro S.A.- Petrobras,https://www.macrotrends.net/stocks/charts/PBR/petroleo-brasileiro-sa--petrobras
BX,Blackstone,https://www.macrotrends.net/stocks/charts/BX/blackstone
WDC,Western Digital,https://www.macrotrends.net/stocks/charts/WDC/western-digital
WM,Waste Management,https://www.macrotrends.net/stocks/charts/WM/waste-management
SPOT,Spotify Technology,https://www.macrotrends.net/stocks/charts/SPOT/spotify-technology
GD,General Dynamics,https://www.macrotrends.net/stocks/charts/GD/general-dynamics
EQIX,Equinix,https://www.macrotrends.net/stocks/charts/EQIX/equinix
MAR,Marriott,https://www.macrotrends.net/stocks/charts/MAR/marriott
NKE,NIKE,https://www.macrotrends.net/stocks/charts/NKE/nike
BNS,Bank Of Nova Scotia,https://www.macrotrends.net/stocks/charts/BNS/bank-of-nova-scotia
STX,Seagate Technology Holdings,https://www.macrotrends.net/stocks/charts/STX/seagate-technology-holdings
SNDK,Sandisk,https://www.macrotrends.net/stocks/charts/SNDK/sandisk
RACE,Ferrari,https://www.macrotrends.net/stocks/charts/RACE/ferrari
NGG,National Grid Transco,https://www.macrotrends.net/stocks/charts/NGG/national-grid-transco
SHW,Sherwin-Williams,https://www.macrotrends.net/stocks/charts/SHW/sherwin-williams
PBR.A,Petroleo Brasileiro S.A.- Petrobras,https://www.macrotrends.net/stocks/charts/PBR.A/petroleo-brasileiro-sa--petrobras
KKR,KKR,https://www.macrotrends.net/stocks/charts/KKR/kkr
MMM,3M,https://www.macrotrends.net/stocks/charts/MMM/3m
FCX,Freeport-McMoRan,https://www.macrotrends.net/stocks/charts/FCX/freeport-mcmoran
AMT,American Tower,https://www.macrotrends.net/stocks/charts/AMT/american-tower
PNC,PNC Financial Services,https://www.macrotrends.net/stocks/charts/PNC/pnc-financial-services
USB,U.S Bancorp,https://www.macrotrends.net/stocks/charts/USB/us-bancorp
VRT,Vertiv Holdings,https://www.macrotrends.net/stocks/charts/VRT/vertiv-holdings
MMC,Marsh & McLennan,https://www.macrotrends.net/stocks/charts/MMC/marsh-mclennan
CM,Canadian Imperial Bank Of Commerce,https://www.macrotrends.net/stocks/charts/CM/canadian-imperial-bank-of-commerce
WMB,Williams,https://www.macrotrends.net/stocks/charts/WMB/williams
FDX,FedEx,https://www.macrotrends.net/stocks/charts/FDX/fedex
BCS,Barclays,https://www.macrotrends.net/stocks/charts/BCS/barclays
ITW,Illinois Tool Works,https://www.macrotrends.net/stocks/charts/ITW/illinois-tool-works
ICE,Intercontinental Exchange,https://www.macrotrends.net/stocks/charts/ICE/intercontinental-exchange
RCL,Royal Caribbean Cruises,https://www.macrotrends.net/stocks/charts/RCL/royal-caribbean-cruises
BAM,Brookfield Asset Management,https://www.macrotrends.net/stocks/charts/BAM/brookfield-asset-management
ADP,ADP,https://www.macrotrends.net/stocks/charts/ADP/adp
JCI,Johnson Controls,https://www.macrotrends.net/stocks/charts/JCI/johnson-controls
REGN,Regeneron Pharmaceuticals,https://www.macrotrends.net/stocks/charts/REGN/regeneron-pharmaceuticals
ECL,Ecolab,https://www.macrotrends.net/stocks/charts/ECL/ecolab
CNQ,Canadian Natural Resources,https://www.macrotrends.net/stocks/charts/CNQ/canadian-natural-resources
CRH,CRH,https://www.macrotrends.net/stocks/charts/CRH/crh
MRSH,Marsh,https://www.macrotrends.net/stocks/charts/MRSH/marsh
SNPS,Synopsys,https://www.macrotrends.net/stocks/charts/SNPS/synopsys
EMR,Emerson Electric,https://www.macrotrends.net/stocks/charts/EMR/emerson-electric
CMI,Cummins,https://www.macrotrends.net/stocks/charts/CMI/cummins
EQNR,Equinor,https://www.macrotrends.net/stocks/charts/EQNR/equinor
LYG,Lloyds Banking Group,https://www.macrotrends.net/stocks/charts/LYG/lloyds-banking-group
ING,ING Group,https://www.macrotrends.net/stocks/charts/ING/ing-group
BK,Bank Of New York Mellon,https://www.macrotrends.net/stocks/charts/BK/bank-of-new-york-mellon
ORLY,O'Reilly Automotive,https://www.macrotrends.net/stocks/charts/ORLY/oreilly-automotive
CDNS,Cadence Design Systems,https://www.macrotrends.net/stocks/charts/CDNS/cadence-design-systems
NU,Nu Holdings,https://www.macrotrends.net/stocks/charts/NU/nu-holdings
EPD,Enterprise Products Partners,https://www.macrotrends.net/stocks/charts/EPD/enterprise-products-partners
B,Barrick Mining,https://www.macrotrends.net/stocks/charts/B/barrick-mining
MDLZ,Mondelez,https://www.macrotrends.net/stocks/charts/MDLZ/mondelez
MNST,Monster Beverage,https://www.macrotrends.net/stocks/charts/MNST/monster-beverage
