"symbol","company","identifier","sedol","weight","sector","shares_held","local_currency"
"BRX","Brixmor Property Group Inc.","11120U105","BFTDJL8",0.002810545930147,"Real Estate",2238242,"USD"
"CNM","Core & Main Inc. Class A","21874C102","BNXKS92",0.00280881251206968,"Industrials",1394344,"USD"
"ONTO","Onto Innovation Inc.","683344105","BKZ7N95",0.00279779724486903,"Information Technology",358373,"USD"
"DINO","HF Sinclair Corporation","403949100","BMZQ9C1",0.00277019356978889,"Energy",1143297,"USD"
"DAR","Darling Ingredients Inc","237266101","2250289",0.00275565099836113,"Consumer Staples",1156675,"USD"
"AFG","American Financial Group Inc.","025932104","2134532",0.00274475666730541,"Financials",506185,"USD"
"WTFC","Wintrust Financial Corporation","97650W108","2425258",0.00272412697658287,"Financials",489700,"USD"
"CR","Crane Company","224408104","BNYD4F8",0.00271555058830496,"Industrials",357980,"USD"
"CUBE","CubeSmart","229663109","B6SW913",0.0026946185572201,"Real Estate",1667428,"USD"
"TTEK","Tetra Tech Inc.","88162G103","2883890",0.00268243424061846,"Industrials",1911525,"USD"
"NNN","NNN REIT Inc.","637417106","2211811",0.00264008643386902,"Real Estate",1388725,"USD"
"CFR","Cullen/Frost Bankers Inc.","229899109","2239556",0.00262857734407658,"Financials",467547,"USD"
"NFG","National Fuel Gas Company","636180101","2626103",0.00261959783531557,"Utilities",660750,"USD"
"OC","Owens Corning","690742101","B1FW7Q2",0.00261935596302571,"Industrials",601000,"USD"
"ATR","AptarGroup Inc.","038336103","2045247",0.00261497202777202,"Materials",479817,"USD"
"MANH","Manhattan Associates Inc.","562750109","2239471",0.00261430687897491,"Information Technology",440612,"USD"
"KNX","Knight-Swift Transportation Holdings Inc. Class A","499049104","BF0LKD0",0.00261111214914636,"Industrials",1187043,"USD"
"SAIA","Saia Inc.","78709Y105","2982399",0.00260163881779355,"Industrials",194819,"USD"
"WTS","Watts Water Technologies Inc. Class A","942749102","2943620",0.00257049776047423,"Industrials",200401,"USD"
"VMI","Valmont Industries Inc.","920253101","2926825",0.00255969413152721,"Industrials",144049,"USD"
"VNOM","Viper Energy Inc.","64361Q101","BW0WZZ9",0.00254001177393995,"Energy",1358755,"USD"
"CGNX","Cognex Corporation","192422103","2208288",0.00252777706727793,"Information Technology",1225499,"USD"
"LFUS","Littelfuse Inc.","537008104","2531832",0.00250913274493465,"Information Technology",182090,"USD"
"REXR","Rexford Industrial Realty Inc.","76169C100","BC9ZHL9",0.00250430537714955,"Real Estate",1698585,"USD"
"MP","MP Materials Corp Class A","553368101","BN15Y35",0.00250056643466881,"Materials",984910,"USD"
"CAVA","CAVA Group Inc.","148929102","BRBD9F4",0.00247860644635205,"Consumer Discretionary",729372,"USD"
"MASI","Masimo Corporation","574795100","B1YWR63",0.00247798160960325,"Health Care",333847,"USD"
"ZION","Zions Bancorporation NA","989701107","2989828",0.0024765303758641,"Financials",1079572,"USD"
